id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
14703,2014,1,골목상권,남부순환로79길,사진관,4575579,1
14816,2014,1,전통시장,신영시장,섬유제품,83672150,5
14834,2014,1,골목상권,남부순환로88길,편의점,195207798,1
14838,2014,1,골목상권,남부순환로88길,안경,9742517,1
14842,2014,1,골목상권,목동로19길,안경,68631694,1
14858,2014,1,골목상권,곰달래로2길,커피-음료,5232094,2
14861,2014,1,골목상권,목동남로4길,PC방,38476636,7
14899,2014,1,골목상권,남부순환로79길,예술학원,3401205,1
14919,2014,1,골목상권,남부순환로88길,패스트푸드점,21567799,1
14930,2014,1,골목상권,목동로19길,철물점,7406832,1
14931,2014,1,골목상권,남부순환로79길,일반교습학원,36871429,3
14952,2014,1,골목상권,곰달래로2길,가전제품수리,3068099,2
15048,2014,1,골목상권,신목로2길,화초,21048475,1
15064,2014,1,골목상권,중앙로25길,가전제품수리,61216730,4
15071,2014,1,전통시장,월정로시장,노래방,5026630,1
15090,2014,1,골목상권,신목로6길,유아의류,1100870,1
15096,2014,1,골목상권,남부순환로40길,자동차부품,7000000,1
15097,2014,1,골목상권,곰달래로2길,반찬가게,3648257,0
15100,2014,1,골목상권,곰달래로5길,핸드폰,4393061,2
15101,2014,1,골목상권,남부순환로79길,조명용품,20446255,3
15103,2014,1,골목상권,신목로2길,슈퍼마켓,4730025,3
15117,2014,1,골목상권,화곡로13길,화초,2000000,2
15279,2014,1,골목상권,곰달래로3길,철물점,101091684,6
15301,2014,1,골목상권,가로공원로58길,의료기기,182267,1
15303,2014,1,골목상권,중앙로32길,운동/경기용품,2376075,2
15304,2014,1,골목상권,중앙로55길,일반의류,673632,5
15307,2014,1,골목상권,신월로15길,인테리어,1779514,5
15406,2014,1,골목상권,곰달래로3길,노래방,73032910,5
15410,2014,1,골목상권,목동중앙남로3가길,스포츠 강습,2355568,2
15425,2014,1,골목상권,중앙로25길,화장품,7500000,1
15469,2014,1,골목상권,곰달래로3길,조명용품,54448715,2
15517,2014,1,골목상권,곰달래로3길,자동차수리,40425175,2
