id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
8044,2014,1,골목상권,도림로112길,일반교습학원,46785176,4
8062,2014,1,골목상권,국회대로56길,분식전문점,78008850,4
8067,2014,1,골목상권,국회대로56길,미용실,861741,4
8070,2014,1,골목상권,국회대로56길,안경,83933381,1
8074,2014,1,골목상권,국회대로56길,문구,247352677,2
8077,2014,1,골목상권,국회대로56길,노래방,70875226,3
8083,2014,1,골목상권,영등포로35길,스포츠 강습,21934413,1
8086,2014,1,골목상권,국회대로56길,청과상,2103306,23
8098,2014,1,골목상권,영등포로35길,한의원,164843883,2
8101,2014,1,골목상권,영등포로35길,육류판매,279968452,3
8105,2014,1,골목상권,영등포로35길,화초,62994677,2
8115,2014,1,전통시장,영등포전통시장,인테리어,15173611,12
8126,2014,1,골목상권,선유서로24길,한식음식점,340386853,16
8137,2014,1,골목상권,도신로29길,예술학원,60616066,5
8140,2014,1,골목상권,도신로29길,인테리어,5026794,3
8149,2014,1,골목상권,경인로90길,자동차미용,1788889,1
8325,2014,1,골목상권,양평로28길,전자상거래업,76260174,6
8674,2014,1,골목상권,양평로22라길,섬유제품,45000000,1
9008,2014,1,골목상권,당산로38길,외국어학원,362756459,4
10466,2014,1,골목상권,도림천로21길,미용실,103159626,11
10468,2014,1,골목상권,대림로7길,의약품,858187446,4
10540,2014,1,골목상권,신길로39길,노래방,6142472,1
10541,2014,1,골목상권,신길로39길,일반의류,6781021,2
10548,2014,1,골목상권,가마산로61길,편의점,79918853,2
10550,2014,1,골목상권,가마산로61길,외국어학원,60618807,1
10555,2014,1,골목상권,신길로39길,섬유제품,12831487,2
